angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.09,"[217, 60, 82, 102]",0.0,0.06,0.02,0.76,0.06,0.01
0.12,"[216, 61, 83, 102]",0.0,0.03,0.03,0.79,0.03,0.01
0.06,"[211, 56, 88, 112]",0.0,0.05,0.03,0.75,0.09,0.01
0.12,"[215, 57, 83, 104]",0.0,0.11,0.02,0.61,0.13,0.01
0.2,"[214, 58, 85, 103]",0.0,0.04,0.05,0.64,0.06,0.01
0.03,"[212, 54, 85, 106]",0.0,0.08,0.05,0.78,0.05,0.01
0.2,"[212, 57, 86, 105]",0.0,0.03,0.05,0.66,0.04,0.01
0.03,"[213, 53, 84, 107]",0.0,0.03,0.04,0.82,0.07,0.01
0.3,"[218, 57, 82, 104]",0.0,0.05,0.01,0.54,0.09,0.02
0.07,"[212, 54, 85, 106]",0.0,0.1,0.03,0.67,0.09,0.03
0.11,"[214, 58, 80, 103]",0.0,0.28,0.02,0.46,0.06,0.07
0.18,"[213, 56, 80, 102]",0.0,0.15,0.02,0.46,0.07,0.13
0.1,"[212, 53, 81, 104]",0.0,0.09,0.02,0.31,0.06,0.42
0.08,"[208, 55, 84, 104]",0.0,0.25,0.01,0.17,0.05,0.44
0.01,"[211, 59, 82, 105]",0.0,0.15,0.0,0.11,0.02,0.71
0.02,"[212, 59, 81, 105]",0.0,0.19,0.01,0.14,0.03,0.61
0.07,"[210, 54, 87, 109]",0.0,0.13,0.02,0.4,0.06,0.31
0.04,"[218, 57, 78, 101]",0.0,0.08,0.02,0.25,0.03,0.59
0.05,"[218, 59, 80, 103]",0.0,0.06,0.04,0.4,0.03,0.43
0.09,"[213, 56, 86, 108]",0.0,0.2,0.03,0.53,0.05,0.1
0.05,"[219, 59, 81, 101]",0.0,0.1,0.03,0.36,0.03,0.43
0.07,"[222, 59, 76, 99]",0.0,0.13,0.02,0.24,0.02,0.53
0.04,"[219, 57, 80, 103]",0.0,0.06,0.02,0.56,0.03,0.28
0.05,"[213, 59, 85, 106]",0.0,0.12,0.02,0.51,0.05,0.25
0.06,"[218, 60, 81, 104]",0.0,0.14,0.03,0.32,0.05,0.4
0.11,"[216, 55, 82, 103]",0.0,0.11,0.02,0.35,0.06,0.35
0.07,"[215, 56, 83, 104]",0.0,0.13,0.02,0.17,0.03,0.58
0.06,"[209, 57, 87, 106]",0.0,0.12,0.02,0.52,0.02,0.26
0.03,"[208, 57, 87, 106]",0.0,0.11,0.02,0.63,0.03,0.19
0.17,"[209, 55, 87, 107]",0.0,0.09,0.02,0.56,0.05,0.11
0.05,"[208, 53, 86, 107]",0.0,0.16,0.01,0.64,0.07,0.07
0.31,"[210, 59, 82, 102]",0.0,0.14,0.01,0.31,0.04,0.19
0.18,"[210, 60, 80, 103]",0.0,0.35,0.01,0.27,0.06,0.13
0.19,"[205, 58, 85, 105]",0.0,0.03,0.01,0.67,0.05,0.05
0.1,"[205, 54, 86, 108]",0.0,0.06,0.03,0.68,0.09,0.03
0.08,"[208, 55, 85, 107]",0.0,0.05,0.02,0.69,0.14,0.02
0.11,"[207, 56, 89, 109]",0.0,0.04,0.05,0.68,0.12,0.01
0.07,"[213, 56, 82, 106]",0.0,0.03,0.03,0.83,0.03,0.01
0.11,"[208, 53, 88, 112]",0.0,0.08,0.07,0.57,0.15,0.02
0.08,"[210, 56, 85, 105]",0.0,0.06,0.06,0.67,0.11,0.02
0.03,"[208, 56, 87, 107]",0.0,0.06,0.03,0.79,0.09,0.01
0.02,"[207, 52, 89, 114]",0.0,0.03,0.02,0.85,0.08,0.01
0.02,"[207, 52, 88, 113]",0.0,0.03,0.04,0.83,0.07,0.0
0.04,"[208, 53, 86, 111]",0.0,0.02,0.05,0.81,0.07,0.01
0.03,"[208, 56, 86, 105]",0.0,0.08,0.12,0.7,0.07,0.01
0.03,"[209, 57, 84, 105]",0.0,0.1,0.23,0.56,0.07,0.01
0.03,"[210, 58, 84, 103]",0.0,0.08,0.08,0.72,0.04,0.05
0.06,"[214, 56, 84, 108]",0.0,0.01,0.03,0.85,0.04,0.0
0.05,"[216, 59, 83, 104]",0.0,0.03,0.06,0.8,0.06,0.0
0.04,"[210, 58, 87, 106]",0.0,0.03,0.11,0.76,0.03,0.02
0.02,"[210, 58, 84, 105]",0.0,0.03,0.07,0.82,0.04,0.02
